avg_brightness,contrast,sharpness,category
0.50222266,0.22557288,0.058011577,hotdog
0.5828489,0.27659968,0.043967187,hotdog
0.39553902,0.25443903,0.058636706,hotdog
0.3658497,0.19785564,0.075192906,hotdog
0.36554018,0.17373393,0.05376984,hotdog
0.30516365,0.23287196,0.052741572,hotdog
0.43183878,0.2924641,0.066004835,hotdog
0.2960429,0.2539404,0.037118085,hotdog
0.41453874,0.29241464,0.114763886,hotdog
0.42819762,0.26033676,0.070910126,hotdog
0.37180123,0.21152788,0.07964807,hotdog
0.4508407,0.3089625,0.10153243,hotdog
0.5715533,0.2569936,0.04955224,hotdog
0.4258132,0.18924943,0.040639266,hotdog
0.46716234,0.3161784,0.047632463,hotdog
0.41225517,0.2205295,0.054183505,hotdog
0.55400836,0.22545244,0.056759138,hotdog
0.40574983,0.3507877,0.025710285,hotdog
0.44012284,0.2724714,0.060654003,hotdog
0.501641,0.24030563,0.05828635,hotdog
0.299152,0.28251705,0.05832764,hotdog
0.49727258,0.29107916,0.059357908,hotdog
0.476879,0.27702975,0.080650195,hotdog
0.32727093,0.26105884,0.04799213,hotdog
0.29816902,0.28851694,0.040757574,hotdog
0.32541862,0.21895118,0.046049364,hotdog
0.51200145,0.29296806,0.06964225,hotdog
0.4407381,0.22202696,0.05590828,hotdog
0.39676055,0.22582456,0.05369235,hotdog
0.31398872,0.27299792,0.040020924,hotdog
0.46050525,0.25373843,0.036826886,hotdog
0.34690323,0.27517825,0.05301729,hotdog
0.408354,0.16133702,0.04120766,hotdog
0.58064437,0.25902125,0.08427531,hotdog
0.31326398,0.18828453,0.056910925,hotdog
0.27952078,0.20399112,0.029548476,hotdog
0.24309434,0.28706726,0.037677653,hotdog
0.27952078,0.20399112,0.029548476,hotdog
0.41062322,0.36891255,0.06083383,hotdog
0.27827176,0.20053355,0.06088541,hotdog
0.4926156,0.24696408,0.06552216,hotdog
0.35749015,0.2637516,0.063705646,hotdog
0.3868519,0.21493708,0.032398887,hotdog
0.5281872,0.20713286,0.032177776,hotdog
0.3861448,0.25575304,0.049538348,hotdog
0.4253442,0.21250515,0.07117072,hotdog
0.5833126,0.22092976,0.049910974,hotdog
0.49564362,0.22764169,0.08342,hotdog
0.30417565,0.22951783,0.046198957,hotdog
0.5344046,0.31048444,0.04611862,hotdog
0.4840095,0.3066251,0.07047377,hotdog
0.38966325,0.2770746,0.0849685,hotdog
0.4653566,0.30868712,0.08600648,hotdog
0.35580763,0.20596083,0.055237528,hotdog
0.50389916,0.28727219,0.054724,hotdog
0.55616325,0.2541408,0.06080229,hotdog
0.3946769,0.27281302,0.074315585,hotdog
0.35675928,0.24321054,0.06813719,hotdog
0.5113075,0.32571873,0.053862546,hotdog
0.5583448,0.25857407,0.03421584,hotdog
0.60376936,0.16677225,0.042859763,hotdog
0.46039328,0.27039343,0.08519814,hotdog
0.34798288,0.2106366,0.060562313,hotdog
0.3901155,0.22588456,0.039605796,hotdog
0.49984598,0.22341399,0.056775954,hotdog
0.516713,0.26285818,0.058333203,hotdog
0.33531162,0.2711952,0.042373415,hotdog
0.30772164,0.2554198,0.03921428,hotdog
0.81440896,0.26248956,0.034139942,hotdog
0.579708,0.255316,0.06572685,hotdog
0.50226444,0.30443162,0.06477663,hotdog
0.3333516,0.29705495,0.07564966,hotdog
0.27616152,0.23183917,0.041794494,hotdog
0.5473212,0.26028323,0.07261437,hotdog
0.3986133,0.2637326,0.06960424,hotdog
0.42729774,0.256019,0.052345004,hotdog
0.5329894,0.28394574,0.07931565,hotdog
